Trial	Stimulus	StimulusID	StartPosXYZ	EndPosXYZ	StartRotXYZ	EndRotXYZ
1	1	StretchableCube-Red	0.03530883,1.108941,0.3499674	0.08760731,1.064727,0.2769061	0.08177304,0.7368227,-0.5874861	0.08177304,0.7368227,-0.5874861
1	2	StretchableCube-Blue	0.06967998,0.8483154,0.391668	-0.07937972,0.9760728,0.2492361	-0.2784612,0.5367306,0.7819314	-0.2784612,0.5367306,0.7819314
1	3	StretchableCube-Yellow	0.004081166,0.9427798,0.2629856	-0.08461528,1.082532,0.2690796	0.6265953,0.3939307,0.4369986	0.6265953,0.3939307,0.4369986
