Trial	Stimulus	StimulusID	StartPosXYZ	EndPosXYZ	StartRotXYZ	EndRotXYZ
1	1	StretchableCube-Orange	-0.09557331,1.154044,0.2004924	0.09309072,1.159995,0.280708	0.5894076,-0.0003884892,0.3032793	0.5894076,-0.0003884892,0.3032793
1	2	StretchableCube-Blue	0.07348797,0.8205488,0.2962486	-0.1386272,0.9425839,0.290041	0.5695728,-0.6897915,0.4462345	0.5695728,-0.6897915,0.4462345
1	3	StretchableCube-Yellow	-0.07319021,0.7885185,0.3402958	-0.1569365,1.199782,0.2595746	-0.6157855,-0.005013806,-0.09752715	-0.6157855,-0.005013806,-0.09752715
2	1	StretchableCube-Red	0.08703661,0.9651404,0.2220207	0.1305691,0.9842558,0.1868132	-0.3174034,0.3285156,0.07999798	-0.3174034,0.3285156,0.07999798
2	2	StretchableCube-Yellow	0.09459291,0.9519624,0.3970627	-0.1619196,1.076895,0.2440002	-0.1523288,0.673243,0.5904756	-0.1523288,0.673243,0.5904756
2	3	StretchableCube-Orange	-0.07533035,1.027358,0.3263115	0.1091452,0.8558662,0.3902489	-0.0578821,0.1847438,0.6429276	-0.0578821,0.1847438,0.6429276
3	1	StretchableCube-Yellow	-0.04624587,1.124679,0.3808894	0.116564,0.9312046,0.186545	0.2312488,-0.354492,-0.5783458	0.2312488,-0.354492,-0.5783458
3	2	StretchableCube-Orange	-0.01539527,0.8110866,0.2200963	-0.1048571,0.849637,0.141425	-0.5134965,-0.3134246,0.7032973	-0.5134965,-0.3134246,0.7032973
3	3	StretchableCube-Red	0.09651518,1.092861,0.3909129	0.05216679,0.9855863,0.3966226	0.1771477,0.2287674,-0.5779685	0.1771477,0.2287674,-0.5779685
