Trial	Stimulus	StimulusID	StartPosXYZ	EndPosXYZ	StartRotXYZ	EndRotXYZ
1	1	StretchableCube-Red	-0.08508215,1.161483,0.2334445	-0.1157206,0.9516238,0.2626297	-0.3754277,-0.1928535,0.8286437	-0.3754277,-0.1928535,0.8286437
1	2	StretchableCube-Yellow	-0.08966722,0.828238,0.3865581	0.1476223,1.026821,0.3725186	0.1068997,-0.9428461,0.1181645	0.1068997,-0.9428461,0.1181645
1	3	StretchableCube-Blue	0.0454488,1.088075,0.3131292	0.1143456,1.001987,0.4304956	0.2690991,-0.5872102,0.5322411	0.2690991,-0.5872102,0.5322411
2	1	StretchableCube-Blue	-0.0856144,0.7822211,0.3864777	0.1621011,0.9776638,0.2850086	-0.1348342,0.8730558,-0.05775004	-0.1348342,0.8730558,-0.05775004
2	2	StretchableCube-Yellow	0.0546071,0.9829081,0.3839342	0.1203619,0.9772625,0.3743057	-0.1967536,-0.8212992,0.3528246	-0.1967536,-0.8212992,0.3528246
2	3	StretchableCube-Orange	0.004130948,1.0986,0.2177553	-0.006614976,1.016847,0.3128245	0.7715682,0.2679097,0.488077	0.7715682,0.2679097,0.488077
3	1	StretchableCube-Blue	0.09574499,1.050218,0.3801569	-0.1496037,0.8457358,0.3509994	0.301557,-0.7206161,0.6224913	0.301557,-0.7206161,0.6224913
3	2	StretchableCube-Yellow	0.09016369,0.9291419,0.2539872	0.004215497,1.063787,0.316392	0.1480597,-0.6632478,0.009310111	0.1480597,-0.6632478,0.009310111
3	3	StretchableCube-Red	-0.06741822,1.161421,0.3812726	0.04043141,0.9315665,0.3359131	-0.6440938,0.6629584,0.1898057	-0.6440938,0.6629584,0.1898057
