Trial	Stimulus	StimulusID	StartPosXYZ	EndPosXYZ	StartRotXYZ	EndRotXYZ
1	1	StretchableCube-Blue	-0.008190477,1.024774,0.2976713	0.006815989,0.9688967,0.3259771	-0.1448092,-0.3958426,-0.3802039	-0.1448092,-0.3958426,-0.3802039
1	2	StretchableCube-Yellow	0.01530389,1.071556,0.3930264	0.02999546,1.093255,0.4076768	-0.6723045,0.5081797,0.3733567	-0.6723045,0.5081797,0.3733567
1	3	StretchableCube-Orange	-0.005531419,0.8872313,0.2556426	-0.00617235,0.8674281,0.2931345	0.6632552,0.5807238,0.07306191	0.6632552,0.5807238,0.07306191
2	1	StretchableCube-Blue	0.08528762,0.8521786,0.3069145	0.06439748,0.9580803,0.3870161	0.6707031,0.4614359,0.2892321	0.6707031,0.4614359,0.2892321
2	2	StretchableCube-Red	-0.07662888,1.114459,0.324999	-0.02519868,1.138457,0.3229021	-0.4637721,0.2258092,-0.3845783	-0.4637721,0.2258092,-0.3845783
2	3	StretchableCube-Orange	-0.09162486,1.141678,0.2027086	-0.07383771,1.106774,0.2296039	-0.543532,0.242658,-0.3389584	-0.543532,0.242658,-0.3389584
3	1	StretchableCube-Red	0.09452081,1.054007,0.2066326	0.06898023,0.9027158,0.2893511	0.5611345,0.4815584,0.6517	0.5611345,0.4815584,0.6517
3	2	StretchableCube-Orange	0.08343098,0.9218431,0.3686851	0.1248658,1.019362,0.4267796	-0.7032969,0.6767725,-0.07816233	-0.7032969,0.6767725,-0.07816233
3	3	StretchableCube-Yellow	-0.05478702,1.090826,0.3155043	-0.08388738,1.179368,0.3850039	-0.610377,-0.4394667,-0.4251955	-0.610377,-0.4394667,-0.4251955
