Trial	Stimulus	StimulusID	StartPosXYZ	EndPosXYZ	StartRotXYZ	EndRotXYZ
1	1	StretchableCube-Yellow	-0.01136328,0.7937362,0.3356207	0.1516286,0.9910567,0.2978223	-0.7107816,-0.3006995,-0.3304606	-0.7107816,-0.3006995,-0.3304606
1	2	StretchableCube-Red	0.05540306,1.089898,0.2414677	-0.04751702,0.9843658,0.236376	-0.6007432,0.6626315,-0.3341559	-0.6007432,0.6626315,-0.3341559
1	3	StretchableCube-Blue	-0.01404129,0.9494932,0.2865012	-0.1333254,1.009635,0.2876337	-0.6824375,-0.4529538,-0.5108764	-0.6824375,-0.4529538,-0.5108764
2	1	StretchableCube-Orange	-0.01064597,0.809211,0.2852717	0.1432807,0.9747987,0.3057868	-0.4160054,0.5882106,-0.6934016	-0.4160054,0.5882106,-0.6934016
2	2	StretchableCube-Red	0.09905491,0.9385366,0.3929364	0.002905828,0.9828936,0.2963285	0.2291451,0.8837471,0.3512585	0.2291451,0.8837471,0.3512585
2	3	StretchableCube-Blue	-0.03457516,1.016745,0.2934167	-0.1582306,0.9980071,0.3056752	0.47392,0.5639488,0.6178754	0.47392,0.5639488,0.6178754
3	1	StretchableCube-Red	-0.03793288,0.8936418,0.2659156	0.146092,0.9868367,0.2952729	-0.3547399,0.6800975,-0.04454396	-0.3547399,0.6800975,-0.04454396
3	2	StretchableCube-Orange	0.007564366,1.156445,0.2046481	-0.001007184,0.9898071,0.3085039	0.5377442,0.145296,0.7194225	0.5377442,0.145296,0.7194225
3	3	StretchableCube-Yellow	-0.006381833,1.101805,0.3728473	-0.1464495,0.9802928,0.2950527	0.670243,0.3202317,-0.3259733	0.670243,0.3202317,-0.3259733
