Trial	Stimulus	StimulusID	StartPosXYZ	EndPosXYZ	StartRotXYZ	EndRotXYZ
1	1	StretchableCube-Yellow	0.07296333,0.9488091,0.2036142	0.125702,0.9567151,0.2956215	-0.3216459,0.6665205,-0.5484616	-0.3216459,0.6665205,-0.5484616
1	2	StretchableCube-Blue	-0.0712676,0.9049113,0.200005	-0.1217638,0.8361312,0.3691051	-0.1427959,-0.5863852,-0.6455699	-0.1427959,-0.5863852,-0.6455699
1	3	StretchableCube-Red	-0.02620884,1.004126,0.334442	-0.1761811,0.9894108,0.328407	0.6799481,0.06516679,0.05532719	0.6799481,0.06516679,0.05532719
